id_venda,data,id_cliente,id_livro,quantidade,id_funcionario,nome,cidade,idade,titulo,categoria,autor,preco,custo,funcionario,faturamento,custo_total,lucro,mes,nome_mes
1,2025-04-17,16,15,2,1,Cliente 16,Porto Alegre,53,Python para Dados,Tecnologia,Autor Diversos,101,43,Ana,202,86,116,4,April
2,2025-04-06,16,12,4,1,Cliente 16,Porto Alegre,53,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,Ana,340,172,168,4,April
3,2025-12-13,46,14,4,4,Cliente 46,Pelotas,25,Clean Code,Tecnologia,Robert C. Martin,88,59,Marina,352,236,116,12,December
4,2025-08-23,39,2,1,3,Cliente 39,Pelotas,44,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,João,100,48,52,8,August
5,2025-03-03,31,18,3,1,Cliente 31,Porto Alegre,37,Coraline,Fantasia,Neil Gaiman,42,21,Ana,126,63,63,3,March
6,2025-09-13,88,7,3,2,Cliente 88,Pelotas,21,It: A Coisa,Terror,Stephen King,94,58,Carlos,282,174,108,9,September
7,2025-02-18,1,6,4,4,Cliente 1,Rio Grande,68,A Revolução dos Bichos,Ficção,George Orwell,66,40,Marina,264,160,104,2,February
8,2025-12-14,11,14,1,2,Cliente 11,Rio Grande,56,Clean Code,Tecnologia,Robert C. Martin,88,59,Carlos,88,59,29,12,December
9,2025-06-08,85,8,2,1,Cliente 85,Porto Alegre,49,Orgulho e Preconceito,Romance,Jane Austen,96,38,Ana,192,76,116,6,June
10,2025-05-04,4,2,3,2,Cliente 4,Porto Alegre,66,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Carlos,300,144,156,5,May
11,2025-11-13,71,17,2,1,Cliente 71,Porto Alegre,34,Extraordinário,Infantil,R.J. Palacio,92,41,Ana,184,82,102,11,November
12,2025-07-26,26,5,3,4,Cliente 26,Rio Grande,23,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Marina,222,81,141,7,July
13,2025-02-17,50,14,1,2,Cliente 50,Pelotas,50,Clean Code,Tecnologia,Robert C. Martin,88,59,Carlos,88,59,29,2,February
14,2025-05-16,12,20,4,2,Cliente 12,Rio Grande,62,O Alquimista,Ficção,Paulo Coelho,86,63,Carlos,344,252,92,5,May
15,2025-07-20,95,3,2,1,Cliente 95,Pelotas,51,O Hobbit,Fantasia,J.R.R. Tolkien,50,34,Ana,100,68,32,7,July
16,2025-09-07,81,5,2,1,Cliente 81,Pelotas,36,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Ana,148,54,94,9,September
17,2025-11-10,97,16,4,3,Cliente 97,Rio Grande,39,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,João,156,88,68,11,November
18,2025-12-23,75,18,2,1,Cliente 75,Porto Alegre,45,Coraline,Fantasia,Neil Gaiman,42,21,Ana,84,42,42,12,December
19,2025-11-14,92,17,3,1,Cliente 92,Porto Alegre,41,Extraordinário,Infantil,R.J. Palacio,92,41,Ana,276,123,153,11,November
20,2025-10-22,96,11,4,3,Cliente 96,Rio Grande,23,Pai Rico Pai Pobre,Negócios,Robert Kiyosaki,86,30,João,344,120,224,10,October
21,2025-11-10,65,17,3,1,Cliente 65,Porto Alegre,56,Extraordinário,Infantil,R.J. Palacio,92,41,Ana,276,123,153,11,November
22,2025-07-28,47,16,3,1,Cliente 47,Pelotas,44,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,Ana,117,66,51,7,July
23,2025-12-21,92,2,1,3,Cliente 92,Porto Alegre,41,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,João,100,48,52,12,December
24,2025-07-30,53,4,3,4,Cliente 53,Rio Grande,61,1984,Ficção,George Orwell,97,62,Marina,291,186,105,7,July
25,2025-07-11,71,7,1,4,Cliente 71,Porto Alegre,34,It: A Coisa,Terror,Stephen King,94,58,Marina,94,58,36,7,July
26,2025-02-13,2,2,2,1,Cliente 2,Porto Alegre,49,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Ana,200,96,104,2,February
27,2025-01-29,24,6,2,1,Cliente 24,Porto Alegre,59,A Revolução dos Bichos,Ficção,George Orwell,66,40,Ana,132,80,52,1,January
28,2025-02-28,4,17,1,3,Cliente 4,Porto Alegre,66,Extraordinário,Infantil,R.J. Palacio,92,41,João,92,41,51,2,February
29,2025-03-12,19,7,3,3,Cliente 19,Porto Alegre,24,It: A Coisa,Terror,Stephen King,94,58,João,282,174,108,3,March
30,2025-04-02,26,5,4,4,Cliente 26,Rio Grande,23,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Marina,296,108,188,4,April
31,2025-09-22,75,5,4,2,Cliente 75,Porto Alegre,45,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Carlos,296,108,188,9,September
32,2025-08-08,40,20,1,1,Cliente 40,Pelotas,69,O Alquimista,Ficção,Paulo Coelho,86,63,Ana,86,63,23,8,August
33,2025-08-03,50,16,2,2,Cliente 50,Pelotas,50,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,Carlos,78,44,34,8,August
34,2025-10-04,43,19,2,2,Cliente 43,Pelotas,20,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Carlos,156,86,70,10,October
35,2025-03-05,75,9,4,3,Cliente 75,Porto Alegre,45,O Senhor dos Anéis,Fantasia,J.R.R. Tolkien,81,42,João,324,168,156,3,March
36,2025-12-12,67,5,1,1,Cliente 67,Porto Alegre,20,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Ana,74,27,47,12,December
37,2025-10-19,12,8,4,1,Cliente 12,Rio Grande,62,Orgulho e Preconceito,Romance,Jane Austen,96,38,Ana,384,152,232,10,October
38,2025-09-02,67,9,3,3,Cliente 67,Porto Alegre,20,O Senhor dos Anéis,Fantasia,J.R.R. Tolkien,81,42,João,243,126,117,9,September
39,2025-03-03,27,5,3,2,Cliente 27,Porto Alegre,45,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Carlos,222,81,141,3,March
40,2025-11-28,54,10,1,3,Cliente 54,Pelotas,41,Verity,Romance,Colleen Hoover,71,30,João,71,30,41,11,November
41,2025-06-19,66,2,1,4,Cliente 66,Rio Grande,19,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Marina,100,48,52,6,June
42,2025-09-26,49,9,3,1,Cliente 49,Rio Grande,54,O Senhor dos Anéis,Fantasia,J.R.R. Tolkien,81,42,Ana,243,126,117,9,September
43,2025-09-24,16,11,2,4,Cliente 16,Porto Alegre,53,Pai Rico Pai Pobre,Negócios,Robert Kiyosaki,86,30,Marina,172,60,112,9,September
44,2025-02-23,2,4,1,3,Cliente 2,Porto Alegre,49,1984,Ficção,George Orwell,97,62,João,97,62,35,2,February
45,2025-01-16,60,2,3,1,Cliente 60,Rio Grande,69,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Ana,300,144,156,1,January
46,2025-01-08,54,6,3,4,Cliente 54,Pelotas,41,A Revolução dos Bichos,Ficção,George Orwell,66,40,Marina,198,120,78,1,January
47,2025-04-14,30,14,2,4,Cliente 30,Porto Alegre,61,Clean Code,Tecnologia,Robert C. Martin,88,59,Marina,176,118,58,4,April
48,2025-02-28,84,1,2,2,Cliente 84,Rio Grande,43,Dom Casmurro,Clássico,Machado de Assis,102,58,Carlos,204,116,88,2,February
49,2025-11-09,38,18,2,1,Cliente 38,Porto Alegre,18,Coraline,Fantasia,Neil Gaiman,42,21,Ana,84,42,42,11,November
50,2025-02-09,28,7,2,4,Cliente 28,Porto Alegre,45,It: A Coisa,Terror,Stephen King,94,58,Marina,188,116,72,2,February
51,2025-08-25,25,1,4,4,Cliente 25,Pelotas,62,Dom Casmurro,Clássico,Machado de Assis,102,58,Marina,408,232,176,8,August
52,2025-04-04,96,1,2,2,Cliente 96,Rio Grande,23,Dom Casmurro,Clássico,Machado de Assis,102,58,Carlos,204,116,88,4,April
53,2025-08-10,10,1,4,4,Cliente 10,Porto Alegre,40,Dom Casmurro,Clássico,Machado de Assis,102,58,Marina,408,232,176,8,August
54,2025-07-23,60,4,1,4,Cliente 60,Rio Grande,69,1984,Ficção,George Orwell,97,62,Marina,97,62,35,7,July
55,2025-05-18,42,4,3,4,Cliente 42,Rio Grande,58,1984,Ficção,George Orwell,97,62,Marina,291,186,105,5,May
56,2025-10-27,40,18,4,2,Cliente 40,Pelotas,69,Coraline,Fantasia,Neil Gaiman,42,21,Carlos,168,84,84,10,October
57,2025-07-26,97,11,1,4,Cliente 97,Rio Grande,39,Pai Rico Pai Pobre,Negócios,Robert Kiyosaki,86,30,Marina,86,30,56,7,July
58,2025-12-02,77,1,1,4,Cliente 77,Rio Grande,54,Dom Casmurro,Clássico,Machado de Assis,102,58,Marina,102,58,44,12,December
59,2025-03-22,42,10,4,1,Cliente 42,Rio Grande,58,Verity,Romance,Colleen Hoover,71,30,Ana,284,120,164,3,March
60,2025-08-06,47,9,1,1,Cliente 47,Pelotas,44,O Senhor dos Anéis,Fantasia,J.R.R. Tolkien,81,42,Ana,81,42,39,8,August
61,2025-01-02,37,4,1,2,Cliente 37,Pelotas,50,1984,Ficção,George Orwell,97,62,Carlos,97,62,35,1,January
62,2025-06-27,80,6,4,3,Cliente 80,Rio Grande,18,A Revolução dos Bichos,Ficção,George Orwell,66,40,João,264,160,104,6,June
63,2025-12-12,22,16,1,1,Cliente 22,Porto Alegre,45,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,Ana,39,22,17,12,December
64,2025-10-06,57,2,2,2,Cliente 57,Rio Grande,49,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Carlos,200,96,104,10,October
65,2025-05-26,84,18,2,4,Cliente 84,Rio Grande,43,Coraline,Fantasia,Neil Gaiman,42,21,Marina,84,42,42,5,May
66,2025-11-14,27,10,3,4,Cliente 27,Porto Alegre,45,Verity,Romance,Colleen Hoover,71,30,Marina,213,90,123,11,November
67,2025-08-12,41,17,1,2,Cliente 41,Porto Alegre,30,Extraordinário,Infantil,R.J. Palacio,92,41,Carlos,92,41,51,8,August
68,2025-03-03,80,13,3,4,Cliente 80,Rio Grande,18,Sapiens,História,Yuval Noah Harari,85,55,Marina,255,165,90,3,March
69,2025-10-21,34,18,2,4,Cliente 34,Rio Grande,45,Coraline,Fantasia,Neil Gaiman,42,21,Marina,84,42,42,10,October
70,2025-08-27,32,13,2,3,Cliente 32,Porto Alegre,47,Sapiens,História,Yuval Noah Harari,85,55,João,170,110,60,8,August
71,2025-07-14,90,17,2,4,Cliente 90,Rio Grande,34,Extraordinário,Infantil,R.J. Palacio,92,41,Marina,184,82,102,7,July
72,2025-06-15,89,5,1,1,Cliente 89,Porto Alegre,28,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Ana,74,27,47,6,June
73,2025-08-10,66,11,1,4,Cliente 66,Rio Grande,19,Pai Rico Pai Pobre,Negócios,Robert Kiyosaki,86,30,Marina,86,30,56,8,August
74,2025-03-02,12,7,2,2,Cliente 12,Rio Grande,62,It: A Coisa,Terror,Stephen King,94,58,Carlos,188,116,72,3,March
75,2025-05-09,40,10,3,3,Cliente 40,Pelotas,69,Verity,Romance,Colleen Hoover,71,30,João,213,90,123,5,May
76,2025-06-22,73,17,3,4,Cliente 73,Rio Grande,19,Extraordinário,Infantil,R.J. Palacio,92,41,Marina,276,123,153,6,June
77,2025-06-05,76,15,4,2,Cliente 76,Pelotas,40,Python para Dados,Tecnologia,Autor Diversos,101,43,Carlos,404,172,232,6,June
78,2025-04-20,90,18,2,1,Cliente 90,Rio Grande,34,Coraline,Fantasia,Neil Gaiman,42,21,Ana,84,42,42,4,April
79,2025-09-26,73,19,3,4,Cliente 73,Rio Grande,19,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Marina,234,129,105,9,September
80,2025-12-22,10,2,2,3,Cliente 10,Porto Alegre,40,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,João,200,96,104,12,December
81,2025-10-05,96,4,3,4,Cliente 96,Rio Grande,23,1984,Ficção,George Orwell,97,62,Marina,291,186,105,10,October
82,2025-03-15,98,3,4,2,Cliente 98,Porto Alegre,28,O Hobbit,Fantasia,J.R.R. Tolkien,50,34,Carlos,200,136,64,3,March
83,2025-07-26,48,7,4,3,Cliente 48,Pelotas,26,It: A Coisa,Terror,Stephen King,94,58,João,376,232,144,7,July
84,2025-10-06,20,18,2,4,Cliente 20,Porto Alegre,68,Coraline,Fantasia,Neil Gaiman,42,21,Marina,84,42,42,10,October
85,2025-11-22,39,10,3,1,Cliente 39,Pelotas,44,Verity,Romance,Colleen Hoover,71,30,Ana,213,90,123,11,November
86,2025-12-06,60,7,1,3,Cliente 60,Rio Grande,69,It: A Coisa,Terror,Stephen King,94,58,João,94,58,36,12,December
87,2025-12-23,66,8,4,1,Cliente 66,Rio Grande,19,Orgulho e Preconceito,Romance,Jane Austen,96,38,Ana,384,152,232,12,December
88,2025-12-06,65,6,2,2,Cliente 65,Porto Alegre,56,A Revolução dos Bichos,Ficção,George Orwell,66,40,Carlos,132,80,52,12,December
89,2025-07-23,51,1,2,4,Cliente 51,Pelotas,68,Dom Casmurro,Clássico,Machado de Assis,102,58,Marina,204,116,88,7,July
90,2025-06-10,36,4,3,1,Cliente 36,Rio Grande,56,1984,Ficção,George Orwell,97,62,Ana,291,186,105,6,June
91,2025-01-28,24,14,2,2,Cliente 24,Porto Alegre,59,Clean Code,Tecnologia,Robert C. Martin,88,59,Carlos,176,118,58,1,January
92,2025-09-14,27,17,4,4,Cliente 27,Porto Alegre,45,Extraordinário,Infantil,R.J. Palacio,92,41,Marina,368,164,204,9,September
93,2025-06-14,2,20,2,2,Cliente 2,Porto Alegre,49,O Alquimista,Ficção,Paulo Coelho,86,63,Carlos,172,126,46,6,June
94,2025-03-04,31,18,2,1,Cliente 31,Porto Alegre,37,Coraline,Fantasia,Neil Gaiman,42,21,Ana,84,42,42,3,March
95,2025-01-22,57,11,1,2,Cliente 57,Rio Grande,49,Pai Rico Pai Pobre,Negócios,Robert Kiyosaki,86,30,Carlos,86,30,56,1,January
96,2025-03-11,78,14,1,3,Cliente 78,Porto Alegre,49,Clean Code,Tecnologia,Robert C. Martin,88,59,João,88,59,29,3,March
97,2025-04-06,66,9,4,4,Cliente 66,Rio Grande,19,O Senhor dos Anéis,Fantasia,J.R.R. Tolkien,81,42,Marina,324,168,156,4,April
98,2025-06-12,29,15,3,2,Cliente 29,Porto Alegre,61,Python para Dados,Tecnologia,Autor Diversos,101,43,Carlos,303,129,174,6,June
99,2025-03-20,15,12,1,1,Cliente 15,Rio Grande,46,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,Ana,85,43,42,3,March
100,2025-01-05,12,10,3,4,Cliente 12,Rio Grande,62,Verity,Romance,Colleen Hoover,71,30,Marina,213,90,123,1,January
101,2025-11-12,28,19,4,3,Cliente 28,Porto Alegre,45,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,João,312,172,140,11,November
102,2025-04-30,84,19,1,4,Cliente 84,Rio Grande,43,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Marina,78,43,35,4,April
103,2025-10-29,24,6,3,3,Cliente 24,Porto Alegre,59,A Revolução dos Bichos,Ficção,George Orwell,66,40,João,198,120,78,10,October
104,2025-06-27,21,20,1,4,Cliente 21,Porto Alegre,39,O Alquimista,Ficção,Paulo Coelho,86,63,Marina,86,63,23,6,June
105,2025-06-25,10,6,4,2,Cliente 10,Porto Alegre,40,A Revolução dos Bichos,Ficção,George Orwell,66,40,Carlos,264,160,104,6,June
106,2025-08-05,78,8,4,2,Cliente 78,Porto Alegre,49,Orgulho e Preconceito,Romance,Jane Austen,96,38,Carlos,384,152,232,8,August
107,2025-02-25,18,1,1,1,Cliente 18,Porto Alegre,49,Dom Casmurro,Clássico,Machado de Assis,102,58,Ana,102,58,44,2,February
108,2025-07-06,88,17,3,3,Cliente 88,Pelotas,21,Extraordinário,Infantil,R.J. Palacio,92,41,João,276,123,153,7,July
109,2025-08-20,14,17,2,1,Cliente 14,Rio Grande,60,Extraordinário,Infantil,R.J. Palacio,92,41,Ana,184,82,102,8,August
110,2025-09-12,34,15,2,2,Cliente 34,Rio Grande,45,Python para Dados,Tecnologia,Autor Diversos,101,43,Carlos,202,86,116,9,September
111,2025-04-14,58,7,1,3,Cliente 58,Rio Grande,41,It: A Coisa,Terror,Stephen King,94,58,João,94,58,36,4,April
112,2025-03-18,76,19,3,1,Cliente 76,Pelotas,40,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Ana,234,129,105,3,March
113,2025-08-18,22,3,2,1,Cliente 22,Porto Alegre,45,O Hobbit,Fantasia,J.R.R. Tolkien,50,34,Ana,100,68,32,8,August
114,2025-09-15,70,11,4,1,Cliente 70,Pelotas,66,Pai Rico Pai Pobre,Negócios,Robert Kiyosaki,86,30,Ana,344,120,224,9,September
115,2025-09-21,36,20,3,1,Cliente 36,Rio Grande,56,O Alquimista,Ficção,Paulo Coelho,86,63,Ana,258,189,69,9,September
116,2025-11-27,45,19,2,1,Cliente 45,Pelotas,23,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Ana,156,86,70,11,November
117,2025-07-01,36,9,3,3,Cliente 36,Rio Grande,56,O Senhor dos Anéis,Fantasia,J.R.R. Tolkien,81,42,João,243,126,117,7,July
118,2025-09-13,22,10,1,1,Cliente 22,Porto Alegre,45,Verity,Romance,Colleen Hoover,71,30,Ana,71,30,41,9,September
119,2025-02-07,78,2,3,3,Cliente 78,Porto Alegre,49,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,João,300,144,156,2,February
120,2025-06-25,80,1,2,1,Cliente 80,Rio Grande,18,Dom Casmurro,Clássico,Machado de Assis,102,58,Ana,204,116,88,6,June
121,2025-01-27,61,16,1,2,Cliente 61,Rio Grande,66,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,Carlos,39,22,17,1,January
122,2025-10-03,100,18,3,2,Cliente 100,Pelotas,33,Coraline,Fantasia,Neil Gaiman,42,21,Carlos,126,63,63,10,October
123,2025-05-20,56,17,4,1,Cliente 56,Rio Grande,49,Extraordinário,Infantil,R.J. Palacio,92,41,Ana,368,164,204,5,May
124,2025-10-26,89,6,2,4,Cliente 89,Porto Alegre,28,A Revolução dos Bichos,Ficção,George Orwell,66,40,Marina,132,80,52,10,October
125,2025-10-14,96,14,1,2,Cliente 96,Rio Grande,23,Clean Code,Tecnologia,Robert C. Martin,88,59,Carlos,88,59,29,10,October
126,2025-04-01,33,15,3,3,Cliente 33,Rio Grande,28,Python para Dados,Tecnologia,Autor Diversos,101,43,João,303,129,174,4,April
127,2025-03-02,45,14,4,1,Cliente 45,Pelotas,23,Clean Code,Tecnologia,Robert C. Martin,88,59,Ana,352,236,116,3,March
128,2025-12-31,36,3,2,3,Cliente 36,Rio Grande,56,O Hobbit,Fantasia,J.R.R. Tolkien,50,34,João,100,68,32,12,December
129,2025-12-13,20,19,4,4,Cliente 20,Porto Alegre,68,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Marina,312,172,140,12,December
130,2025-06-12,18,12,3,1,Cliente 18,Porto Alegre,49,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,Ana,255,129,126,6,June
131,2025-12-17,38,2,3,2,Cliente 38,Porto Alegre,18,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Carlos,300,144,156,12,December
132,2025-05-23,67,3,1,3,Cliente 67,Porto Alegre,20,O Hobbit,Fantasia,J.R.R. Tolkien,50,34,João,50,34,16,5,May
133,2025-09-10,23,18,4,2,Cliente 23,Porto Alegre,19,Coraline,Fantasia,Neil Gaiman,42,21,Carlos,168,84,84,9,September
134,2025-09-26,96,1,1,2,Cliente 96,Rio Grande,23,Dom Casmurro,Clássico,Machado de Assis,102,58,Carlos,102,58,44,9,September
135,2025-10-18,16,20,2,1,Cliente 16,Porto Alegre,53,O Alquimista,Ficção,Paulo Coelho,86,63,Ana,172,126,46,10,October
136,2025-07-06,59,6,1,3,Cliente 59,Pelotas,58,A Revolução dos Bichos,Ficção,George Orwell,66,40,João,66,40,26,7,July
137,2025-10-31,69,5,2,4,Cliente 69,Rio Grande,54,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Marina,148,54,94,10,October
138,2025-10-18,68,1,3,2,Cliente 68,Pelotas,66,Dom Casmurro,Clássico,Machado de Assis,102,58,Carlos,306,174,132,10,October
139,2025-03-27,21,19,3,1,Cliente 21,Porto Alegre,39,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Ana,234,129,105,3,March
140,2025-06-15,78,1,4,1,Cliente 78,Porto Alegre,49,Dom Casmurro,Clássico,Machado de Assis,102,58,Ana,408,232,176,6,June
141,2025-04-24,95,16,2,4,Cliente 95,Pelotas,51,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,Marina,78,44,34,4,April
142,2025-12-22,78,12,3,1,Cliente 78,Porto Alegre,49,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,Ana,255,129,126,12,December
143,2025-07-02,70,8,4,2,Cliente 70,Pelotas,66,Orgulho e Preconceito,Romance,Jane Austen,96,38,Carlos,384,152,232,7,July
144,2025-07-26,12,16,4,1,Cliente 12,Rio Grande,62,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,Ana,156,88,68,7,July
145,2025-09-13,16,1,1,3,Cliente 16,Porto Alegre,53,Dom Casmurro,Clássico,Machado de Assis,102,58,João,102,58,44,9,September
146,2025-08-23,81,4,4,3,Cliente 81,Pelotas,36,1984,Ficção,George Orwell,97,62,João,388,248,140,8,August
147,2025-12-21,87,10,3,2,Cliente 87,Pelotas,49,Verity,Romance,Colleen Hoover,71,30,Carlos,213,90,123,12,December
148,2025-01-03,14,11,1,3,Cliente 14,Rio Grande,60,Pai Rico Pai Pobre,Negócios,Robert Kiyosaki,86,30,João,86,30,56,1,January
149,2025-07-27,61,17,2,4,Cliente 61,Rio Grande,66,Extraordinário,Infantil,R.J. Palacio,92,41,Marina,184,82,102,7,July
150,2025-07-16,71,7,2,1,Cliente 71,Porto Alegre,34,It: A Coisa,Terror,Stephen King,94,58,Ana,188,116,72,7,July
151,2025-12-07,46,12,3,2,Cliente 46,Pelotas,25,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,Carlos,255,129,126,12,December
152,2025-05-05,32,7,3,4,Cliente 32,Porto Alegre,47,It: A Coisa,Terror,Stephen King,94,58,Marina,282,174,108,5,May
153,2025-05-18,15,12,1,1,Cliente 15,Rio Grande,46,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,Ana,85,43,42,5,May
154,2025-12-05,44,15,1,4,Cliente 44,Porto Alegre,56,Python para Dados,Tecnologia,Autor Diversos,101,43,Marina,101,43,58,12,December
155,2025-01-25,17,2,3,2,Cliente 17,Pelotas,30,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Carlos,300,144,156,1,January
156,2025-03-09,41,14,3,2,Cliente 41,Porto Alegre,30,Clean Code,Tecnologia,Robert C. Martin,88,59,Carlos,264,177,87,3,March
157,2025-03-02,54,13,2,4,Cliente 54,Pelotas,41,Sapiens,História,Yuval Noah Harari,85,55,Marina,170,110,60,3,March
158,2025-01-29,44,4,2,1,Cliente 44,Porto Alegre,56,1984,Ficção,George Orwell,97,62,Ana,194,124,70,1,January
159,2025-01-19,98,14,2,3,Cliente 98,Porto Alegre,28,Clean Code,Tecnologia,Robert C. Martin,88,59,João,176,118,58,1,January
160,2025-06-20,5,14,3,3,Cliente 5,Porto Alegre,69,Clean Code,Tecnologia,Robert C. Martin,88,59,João,264,177,87,6,June
161,2025-03-15,27,16,4,4,Cliente 27,Porto Alegre,45,O Poder do Hábito,Desenvolvimento Pessoal,Charles Duhigg,39,22,Marina,156,88,68,3,March
162,2025-03-02,87,7,3,2,Cliente 87,Pelotas,49,It: A Coisa,Terror,Stephen King,94,58,Carlos,282,174,108,3,March
163,2025-06-02,78,19,3,1,Cliente 78,Porto Alegre,49,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Ana,234,129,105,6,June
164,2025-10-03,79,2,2,1,Cliente 79,Rio Grande,50,Harry Potter e a Pedra Filosofal,Fantasia,J.K. Rowling,100,48,Ana,200,96,104,10,October
165,2025-02-17,43,10,3,2,Cliente 43,Pelotas,20,Verity,Romance,Colleen Hoover,71,30,Carlos,213,90,123,2,February
166,2025-07-30,97,18,1,3,Cliente 97,Rio Grande,39,Coraline,Fantasia,Neil Gaiman,42,21,João,42,21,21,7,July
167,2025-12-09,31,17,3,1,Cliente 31,Porto Alegre,37,Extraordinário,Infantil,R.J. Palacio,92,41,Ana,276,123,153,12,December
168,2025-05-19,99,5,3,4,Cliente 99,Porto Alegre,65,O Pequeno Príncipe,Infantil,Antoine de Saint-Exupéry,74,27,Marina,222,81,141,5,May
